Airport Code,Slot ID,Date & Time,Airline,Requested Time,Slot Type,Slot Priority
RHO,RHO-SLOT-1,2025-07-09 07:30,Airline 2,08:00,Departure,Business Slot
RHO,RHO-SLOT-2,2025-07-20 22:30,Airline 1,23:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-3,2025-07-15 17:30,Airline 1,17:00,Arrival,New Entrant
RHO,RHO-SLOT-4,2025-07-06 09:00,Airline 2,09:30,Departure,Business Slot
RHO,RHO-SLOT-5,2025-07-30 21:30,Airline 7,22:00,Arrival,Business Slot
RHO,RHO-SLOT-6,2025-07-20 21:00,Airline 4,20:30,Departure,New Entrant
RHO,RHO-SLOT-7,2025-07-07 06:00,Airline 17,06:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-8,2025-07-30 22:00,Airline 7,22:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-9,2025-07-05 07:30,Airline 1,07:00,Departure,New Entrant
RHO,RHO-SLOT-10,2025-07-09 08:00,Airline 4,09:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-11,2025-07-04 09:00,Airline 8,08:30,Departure,Business Slot
RHO,RHO-SLOT-12,2025-07-01 12:30,Airline 16,13:30,Departure,Business Slot
RHO,RHO-SLOT-13,2025-07-08 19:30,Airline 17,19:30,Arrival,New Entrant
RHO,RHO-SLOT-14,2025-07-12 11:30,Airline 16,11:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-15,2025-07-15 17:30,Airline 12,17:30,Departure,Business Slot
RHO,RHO-SLOT-16,2025-07-06 19:00,Airline 1,19:30,Departure,New Entrant
RHO,RHO-SLOT-17,2025-07-16 17:30,Airline 10,17:30,Departure,New Entrant
RHO,RHO-SLOT-18,2025-07-18 20:30,Airline 11,21:00,Arrival,Business Slot
RHO,RHO-SLOT-19,2025-07-10 14:00,Airline 7,15:00,Departure,Business Slot
RHO,RHO-SLOT-20,2025-07-31 16:00,Airline 11,17:00,Departure,Grandfather Rights
RHO,RHO-SLOT-21,2025-07-16 11:00,Airline 16,11:00,Arrival,Business Slot
RHO,RHO-SLOT-22,2025-07-06 07:30,Airline 2,07:00,Arrival,New Entrant
RHO,RHO-SLOT-23,2025-07-31 07:00,Airline 18,06:30,Departure,New Entrant
RHO,RHO-SLOT-24,2025-07-23 10:00,Airline 14,09:30,Arrival,New Entrant
RHO,RHO-SLOT-25,2025-07-03 12:00,Airline 13,12:00,Departure,Grandfather Rights
RHO,RHO-SLOT-26,2025-07-31 18:00,Airline 12,18:00,Departure,Business Slot
RHO,RHO-SLOT-27,2025-07-25 17:30,Airline 9,18:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-28,2025-07-08 08:00,Airline 17,09:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-29,2025-07-13 22:00,Airline 9,23:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-30,2025-07-18 17:00,Airline 19,16:30,Arrival,Business Slot
RHO,RHO-SLOT-31,2025-07-02 08:00,Airline 2,08:30,Departure,Grandfather Rights
RHO,RHO-SLOT-32,2025-07-21 20:00,Airline 5,20:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-33,2025-07-22 11:30,Airline 13,12:30,Arrival,New Entrant
RHO,RHO-SLOT-34,2025-07-01 17:00,Airline 8,16:30,Departure,Grandfather Rights
RHO,RHO-SLOT-35,2025-07-09 11:30,Airline 16,11:00,Arrival,Business Slot
RHO,RHO-SLOT-36,2025-07-07 20:30,Airline 11,20:30,Arrival,New Entrant
RHO,RHO-SLOT-37,2025-07-24 18:30,Airline 12,18:00,Departure,Business Slot
RHO,RHO-SLOT-38,2025-07-04 13:30,Airline 11,14:30,Arrival,Business Slot
RHO,RHO-SLOT-39,2025-07-15 12:30,Airline 17,12:30,Departure,Business Slot
RHO,RHO-SLOT-40,2025-07-29 14:30,Airline 18,15:30,Departure,Business Slot
RHO,RHO-SLOT-41,2025-07-13 07:00,Airline 14,06:30,Departure,Business Slot
RHO,RHO-SLOT-42,2025-07-11 09:30,Airline 7,09:30,Arrival,Business Slot
RHO,RHO-SLOT-43,2025-07-17 14:30,Airline 10,14:00,Arrival,Business Slot
RHO,RHO-SLOT-44,2025-07-21 19:30,Airline 5,19:30,Departure,Grandfather Rights
RHO,RHO-SLOT-45,2025-07-06 08:30,Airline 18,09:30,Arrival,Business Slot
RHO,RHO-SLOT-46,2025-07-19 14:00,Airline 5,13:30,Departure,Grandfather Rights
RHO,RHO-SLOT-47,2025-07-13 11:30,Airline 13,12:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-48,2025-07-09 20:00,Airline 9,21:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-49,2025-07-20 12:30,Airline 14,13:30,Arrival,New Entrant
RHO,RHO-SLOT-50,2025-07-29 19:00,Airline 19,18:30,Departure,Grandfather Rights
RHO,RHO-SLOT-51,2025-07-04 21:00,Airline 4,20:30,Departure,Business Slot
RHO,RHO-SLOT-52,2025-07-15 09:00,Airline 13,09:30,Departure,Business Slot
RHO,RHO-SLOT-53,2025-07-09 20:30,Airline 20,20:30,Departure,Business Slot
RHO,RHO-SLOT-54,2025-07-28 15:00,Airline 14,14:30,Departure,New Entrant
RHO,RHO-SLOT-55,2025-07-08 14:30,Airline 7,15:00,Departure,Grandfather Rights
